Category,S1_Acc,DASE_Acc,State,Commit_Reason,Steps,Final_X,Spatial_Cost,Alpha_Weight,Cost,Tokens,Duration,Infra_Noise,Infra_Noise_Rate
Frontier Math (AIME),0,0,STABLE,left_wall,8,-8,0.08,0.2,0.292923,105029,351.4,0,0.0
Frontier Math (AIME),0,1,UNSTABLE,fallback,15,-1,0.15,0.2,0.213914,80991,364.67,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,8,8,0.08,0.2,0.13219,51049,175.2,0,0.0
Frontier Math (AIME),0,1,UNSTABLE,fallback,15,-7,0.15,0.2,0.425751,155020,620.25,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,8,8,0.08,0.2,0.133948,49064,161.56,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,8,-8,0.08,0.2,0.291227,103556,363.31,0,0.0
Frontier Math (AIME),0,1,UNSTABLE,fallback,15,3,0.15,0.2,0.341073,130440,690.63,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,10,8,0.1,0.2,0.246615,88719,287.83,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,12,8,0.12,0.2,0.320486,116501,444.33,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,3,0.15,0.2,0.327425,120420,545.11,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,12,8,0.12,0.2,0.251521,92021,312.3,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,10,-8,0.1,0.2,0.330043,119127,426.16,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,14,8,0.14,0.2,0.21419,80192,466.97,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,5,0.15,0.2,0.32885,118811,433.03,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,12,8,0.12,0.2,0.28573,106756,376.13,0,0.0
Frontier Math (AIME),0,1,STABLE,right_wall,12,8,0.12,0.2,0.266335,100494,683.55,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,14,-8,0.14,0.2,0.439896,157473,633.11,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,5,0.15,0.2,0.373665,139771,522.92,0,0.0
Frontier Math (AIME),0,1,UNSTABLE,fallback,15,1,0.15,0.2,0.419382,151679,642.61,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,5,0.15,0.2,0.452366,160513,687.26,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,14,8,0.14,0.2,0.14696,55383,287.5,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,-5,0.15,0.2,0.495824,177821,706.82,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,10,-8,0.1,0.2,0.302411,108124,543.39,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,8,-8,0.08,0.2,0.218054,76296,383.09,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,7,0.15,0.2,0.185374,69608,253.49,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,8,8,0.08,0.2,0.191254,71949,188.41,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,8,-8,0.08,0.2,0.242726,87295,343.44,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,5,0.15,0.2,0.360375,131075,560.95,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,-1,0.15,0.2,0.404553,147851,590.28,0,0.0
