Category,S1_Acc,DASE_Acc,State,Commit_Reason,Steps,Final_X,Spatial_Cost,Alpha_Weight,Cost,Tokens,Duration,Infra_Noise,Infra_Noise_Rate
Frontier Math (AIME),1,1,STABLE,right_wall,10,8,0.1,0.2,0.192725,75405,140.88,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,8,8,0.08,0.2,0.253992,106172,302.43,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,8,8,0.08,0.2,0.196776,77752,235.32,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,8,8,0.08,0.2,0.282962,119695,464.2,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,8,8,0.08,0.2,0.175255,69363,147.76,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,8,8,0.08,0.2,0.195044,77636,216.71,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,8,8,0.08,0.2,0.192973,77855,206.2,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,8,8,0.08,0.2,0.234607,93886,252.09,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,8,-8,0.08,0.2,0.66896,266328,671.71,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,8,-8,0.08,0.2,0.568586,225007,695.97,0,0.0
Frontier Math (AIME),0,1,UNSTABLE,fallback,15,-3,0.15,0.2,0.853862,344959,1026.33,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,-5,0.15,0.2,0.647716,256890,720.95,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,-7,0.15,0.2,0.746557,290989,1622.85,0,0.0
Frontier Math (AIME),0,1,UNSTABLE,fallback,15,-5,0.15,0.2,0.930053,350944,2523.31,0,0.0
Frontier Math (AIME),0,0,UNSTABLE,fallback,15,-3,0.15,0.2,0.839633,315615,2431.02,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,8,8,0.08,0.2,0.161687,67505,399.28,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,8,-8,0.08,0.2,0.725964,286332,604.77,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,10,-8,0.1,0.2,0.450165,175500,620.38,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,-3,0.15,0.2,0.481946,200622,658.39,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,10,8,0.1,0.2,0.238687,94030,214.73,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,8,8,0.08,0.2,0.284959,117016,335.79,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,10,8,0.1,0.2,0.371859,147530,398.22,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,8,-8,0.08,0.2,0.680595,270640,601.87,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,3,0.15,0.2,0.416259,168263,683.83,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,1,0.15,0.2,0.487888,190339,488.84,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,14,-8,0.14,0.2,0.847564,335770,889.42,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,12,-8,0.12,0.2,0.650465,264056,735.4,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,14,-8,0.14,0.2,1.075149,421025,1083.71,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,8,-8,0.08,0.2,0.271979,115572,539.29,0,0.0
Frontier Math (AIME),0,0,UNSTABLE,fallback,15,3,0.15,0.2,0.781037,307095,845.68,0,0.0
