Category,FM_Acc,Tokens_In,Tokens_Out,Total_Tokens,Cost,Duration,Infra_Noise_Rate,Endpoint,Total_Inferences
Frontier Math (AIME),1,4537,906,5443,0.04533500,11.21,0,claude-opus-4-6,1
Frontier Math (AIME),1,4446,1419,5865,0.05770500,21.30,0,claude-opus-4-6,1
Frontier Math (AIME),1,4503,887,5390,0.04469000,13.41,0,claude-opus-4-6,1
Frontier Math (AIME),1,4416,1222,5638,0.05263000,19.45,0,claude-opus-4-6,1
Frontier Math (AIME),1,4530,818,5348,0.04310000,8.70,0,claude-opus-4-6,1
Frontier Math (AIME),1,4431,1006,5437,0.04730500,11.37,0,claude-opus-4-6,1
Frontier Math (AIME),0,4454,1103,5557,0.04984500,13.72,0,claude-opus-4-6,1
Frontier Math (AIME),1,4431,1240,5671,0.05315500,13.62,0,claude-opus-4-6,1
Frontier Math (AIME),0,4571,1407,5978,0.05803000,19.30,0,claude-opus-4-6,1
Frontier Math (AIME),0,4497,8000,12497,0.22248500,77.58,0,claude-opus-4-6,1
Frontier Math (AIME),0,4546,1206,5752,0.05288000,18.32,0,claude-opus-4-6,1
Frontier Math (AIME),1,4589,1136,5725,0.05134500,16.59,0,claude-opus-4-6,1
Frontier Math (AIME),0,4548,1326,5874,0.05589000,17.51,0,claude-opus-4-6,1
Frontier Math (AIME),0,4470,1421,5891,0.05787500,18.74,0,claude-opus-4-6,1
Frontier Math (AIME),0,4640,1039,5679,0.04917500,18.23,0,claude-opus-4-6,1
Frontier Math (AIME),1,4419,664,5083,0.03869500,10.34,0,claude-opus-4-6,1
Frontier Math (AIME),0,4746,1200,5946,0.05373000,23.65,0,claude-opus-4-6,1
Frontier Math (AIME),0,4525,1362,5887,0.05667500,18.84,0,claude-opus-4-6,1
Frontier Math (AIME),1,4512,812,5324,0.04286000,11.36,0,claude-opus-4-6,1
Frontier Math (AIME),1,4471,1173,5644,0.05168000,12.60,0,claude-opus-4-6,1
Frontier Math (AIME),1,4442,1216,5658,0.05261000,19.35,0,claude-opus-4-6,1
Frontier Math (AIME),1,4494,1027,5521,0.04814500,14.23,0,claude-opus-4-6,1
Frontier Math (AIME),0,4461,1374,5835,0.05665500,21.61,0,claude-opus-4-6,1
Frontier Math (AIME),1,4469,1122,5591,0.05039500,15.43,0,claude-opus-4-6,1
Frontier Math (AIME),1,4547,1226,5773,0.05338500,16.93,0,claude-opus-4-6,1
Frontier Math (AIME),1,4504,1273,5777,0.05434500,21.20,0,claude-opus-4-6,1
Frontier Math (AIME),0,4526,1284,5810,0.05473000,19.27,0,claude-opus-4-6,1
Frontier Math (AIME),0,4520,1352,5872,0.05640000,29.95,0,claude-opus-4-6,1
Frontier Math (AIME),0,4583,1075,5658,0.04979000,20.41,0,claude-opus-4-6,1
Frontier Math (AIME),0,4575,1082,5657,0.04992500,17.51,0,claude-opus-4-6,1
Frontier Math (AIME),1,4467,1326,5793,0.05548500,22.53,0,claude-opus-4-6,1
Frontier Math (AIME),0,4786,1404,6190,0.05903000,23.04,0,claude-opus-4-6,1
Frontier Math (AIME),1,4446,876,5322,0.04413000,10.74,0,claude-opus-4-6,1
Frontier Math (AIME),1,4575,1074,5649,0.04972500,15.15,0,claude-opus-4-6,1
Frontier Math (AIME),1,4522,1271,5793,0.05438500,18.30,0,claude-opus-4-6,1
Frontier Math (AIME),1,4455,4206,8661,0.12742500,49.65,0,claude-opus-4-6,1
Frontier Math (AIME),1,4441,1052,5493,0.04850500,13.87,0,claude-opus-4-6,1
Frontier Math (AIME),1,4488,645,5133,0.03856500,10.04,0,claude-opus-4-6,1
Frontier Math (AIME),1,4518,1187,5705,0.05226500,16.79,0,claude-opus-4-6,1
Frontier Math (AIME),1,4466,1615,6081,0.06270500,21.60,0,claude-opus-4-6,1
Frontier Math (AIME),1,4466,4192,8658,0.12713000,54.07,0,claude-opus-4-6,1
Frontier Math (AIME),1,4539,5912,10451,0.17049500,73.73,0,claude-opus-4-6,1
Frontier Math (AIME),1,4477,1068,5545,0.04908500,12.49,0,claude-opus-4-6,1
Frontier Math (AIME),1,4454,1273,5727,0.05409500,15.77,0,claude-opus-4-6,1
Frontier Math (AIME),1,4482,541,5023,0.03593500,7.78,0,claude-opus-4-6,1
Frontier Math (AIME),1,4631,1281,5912,0.05518000,18.42,0,claude-opus-4-6,1
Frontier Math (AIME),1,4568,1235,5803,0.05371500,25.44,0,claude-opus-4-6,1
Frontier Math (AIME),0,4570,1251,5821,0.05412500,21.07,0,claude-opus-4-6,1
Frontier Math (AIME),0,4456,1426,5882,0.05793000,19.86,0,claude-opus-4-6,1
Frontier Math (AIME),1,4447,943,5390,0.04581000,12.90,0,claude-opus-4-6,1
Frontier Math (AIME),1,4488,782,5270,0.04199000,9.22,0,claude-opus-4-6,1
Frontier Math (AIME),1,4448,1612,6060,0.06254000,21.81,0,claude-opus-4-6,1
Frontier Math (AIME),1,4441,2282,6723,0.07925500,24.47,0,claude-opus-4-6,1
Frontier Math (AIME),1,4466,1382,5848,0.05688000,13.62,0,claude-opus-4-6,1
Frontier Math (AIME),0,4441,1192,5633,0.05200500,21.12,0,claude-opus-4-6,1
Frontier Math (AIME),1,4466,1076,5542,0.04923000,18.20,0,claude-opus-4-6,1
Frontier Math (AIME),1,4458,378,4836,0.03174000,6.25,0,claude-opus-4-6,1
Frontier Math (AIME),0,4474,1425,5899,0.05799500,18.84,0,claude-opus-4-6,1
Frontier Math (AIME),1,4437,956,5393,0.04608500,11.16,0,claude-opus-4-6,1
Frontier Math (AIME),1,4554,1254,5808,0.05412000,16.69,0,claude-opus-4-6,1
Frontier Math (AIME),1,4760,3165,7925,0.10292500,45.67,0,claude-opus-4-6,1
Frontier Math (AIME),1,4667,1434,6101,0.05918500,18.43,0,claude-opus-4-6,1
Frontier Math (AIME),1,4452,426,4878,0.03291000,6.45,0,claude-opus-4-6,1
