Category,FM_Acc,Tokens_In,Tokens_Out,Total_Tokens,Cost,Duration,Infra_Noise_Rate,Endpoint,Total_Inferences
Frontier Math (AIME),1,4537,921,5458,0.04571000,11.42,0,claude-opus-4-6,1
Frontier Math (AIME),1,4446,1284,5730,0.05433000,16.60,0,claude-opus-4-6,1
Frontier Math (AIME),1,4503,691,5194,0.03979000,10.68,0,claude-opus-4-6,1
Frontier Math (AIME),1,4416,1215,5631,0.05245500,21.40,0,claude-opus-4-6,1
Frontier Math (AIME),1,4530,897,5427,0.04507500,9.33,0,claude-opus-4-6,1
Frontier Math (AIME),1,4431,1077,5508,0.04908000,14.43,0,claude-opus-4-6,1
Frontier Math (AIME),1,4454,1015,5469,0.04764500,12.98,0,claude-opus-4-6,1
Frontier Math (AIME),1,4431,1241,5672,0.05318000,14.97,0,claude-opus-4-6,1
Frontier Math (AIME),0,4571,1274,5845,0.05470500,20.88,0,claude-opus-4-6,1
Frontier Math (AIME),0,4497,8000,12497,0.22248500,79.57,0,claude-opus-4-6,1
Frontier Math (AIME),1,4546,1206,5752,0.05288000,18.91,0,claude-opus-4-6,1
Frontier Math (AIME),1,4589,1294,5883,0.05529500,16.99,0,claude-opus-4-6,1
Frontier Math (AIME),0,4548,1273,5821,0.05456500,16.07,0,claude-opus-4-6,1
Frontier Math (AIME),0,4470,5283,9753,0.15442500,75.16,0,claude-opus-4-6,1
Frontier Math (AIME),0,4640,1051,5691,0.04947500,21.81,0,claude-opus-4-6,1
Frontier Math (AIME),1,4419,651,5070,0.03837000,8.49,0,claude-opus-4-6,1
Frontier Math (AIME),0,4746,1171,5917,0.05300500,24.13,0,claude-opus-4-6,1
Frontier Math (AIME),0,4525,1355,5880,0.05650000,20.37,0,claude-opus-4-6,1
Frontier Math (AIME),1,4512,1067,5579,0.04923500,13.22,0,claude-opus-4-6,1
Frontier Math (AIME),1,4471,1124,5595,0.05045500,11.15,0,claude-opus-4-6,1
Frontier Math (AIME),1,4442,1286,5728,0.05436000,19.87,0,claude-opus-4-6,1
Frontier Math (AIME),1,4494,1411,5905,0.05774500,19.83,0,claude-opus-4-6,1
Frontier Math (AIME),1,4461,4440,8901,0.13330500,57.36,0,claude-opus-4-6,1
Frontier Math (AIME),1,4469,1166,5635,0.05149500,13.52,0,claude-opus-4-6,1
Frontier Math (AIME),1,4547,1180,5727,0.05223500,14.02,0,claude-opus-4-6,1
