Category,S1_Acc,DASE_Acc,State,Commit_Reason,Steps,Final_X,Spatial_Cost,Alpha_Weight,Cost,Tokens,Duration,Infra_Noise,Infra_Noise_Rate
Frontier Math (AIME),1,1,STABLE,right_wall,2,2,0.02,0.2,0.043618,16744,43.1,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,2,2,0.02,0.2,0.066094,27894,76.91,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,2,2,0.02,0.2,0.051607,20537,44.21,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,2,2,0.02,0.2,0.071647,29995,93.25,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,2,2,0.02,0.2,0.046192,17748,26.95,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,2,2,0.02,0.2,0.046029,17985,37.69,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,2,2,0.02,0.2,0.055272,21851,43.87,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,4,2,0.04,0.2,0.099498,40167,144.53,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,2,-2,0.02,0.2,0.138587,53622,145.59,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,4,-2,0.04,0.2,0.376679,147506,276.88,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,4,-2,0.04,0.2,0.157182,67507,209.99,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,2,-2,0.02,0.2,0.039408,16635,85.18,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,2,-2,0.02,0.2,0.083105,35275,151.29,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,2,2,0.02,0.2,0.092814,33702,115.62,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,4,-2,0.04,0.2,0.288422,107350,219.25,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,2,2,0.02,0.2,0.039404,16337,45.58,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,2,-2,0.02,0.2,0.114761,49193,143.63,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,2,-2,0.02,0.2,0.058896,29448,141.95,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,4,2,0.04,0.2,0.125855,48674,185.81,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,4,2,0.04,0.2,0.08179,29873,116.66,0,0.0
Frontier Math (AIME),0,1,STABLE,right_wall,4,2,0.04,0.2,0.150164,61707,160.97,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,2,2,0.02,0.2,0.076999,31530,78.3,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,2,-2,0.02,0.2,0.190412,74291,145.56,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,4,2,0.04,0.2,0.158751,63844,167.32,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,2,-2,0.02,0.2,0.046027,19025,85.22,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,4,2,0.04,0.2,0.169318,64968,207.52,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,4,-2,0.04,0.2,0.283503,116211,281.93,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,4,-2,0.04,0.2,0.324298,127199,292.28,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,2,-2,0.02,0.2,0.175422,66774,144.33,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,2,-2,0.02,0.2,0.071875,28219,108.01,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,2,-2,0.02,0.2,0.087505,31352,117.76,0,0.0
Frontier Math (AIME),0,0,STABLE,right_wall,2,2,0.02,0.2,0.0,0,84.44,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,2,-2,0.02,0.2,0.020218,10109,82.38,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,2,-2,0.02,0.2,0.040858,20429,99.56,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,2,2,0.02,0.2,0.066618,26755,57.4,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,4,2,0.04,0.2,0.228318,92019,227.83,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,2,2,0.02,0.2,0.06683,27255,66.08,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,4,2,0.04,0.2,0.070733,27793,129.05,0,0.0
Frontier Math (AIME),1,0,STABLE,left_wall,2,-2,0.02,0.2,0.190505,74511,147.52,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,2,2,0.02,0.2,0.137731,53340,97.09,0,0.0
