Category,S1_Acc,DASE_Acc,State,Commit_Reason,Steps,Final_X,Spatial_Cost,Alpha_Weight,Cost,Tokens,Duration,Infra_Noise,Infra_Noise_Rate
Frontier Math (AIME),1,1,STABLE,right_wall,6,4,0.06,0.2,0.106491,40221,87.3,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,4,4,0.04,0.2,0.150686,54146,163.08,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,-3,0.15,0.2,0.311781,113595,527.36,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,4,-4,0.04,0.2,0.158146,54837,164.0,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,14,4,0.14,0.2,0.298587,113312,524.97,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,4,4,0.04,0.2,0.102414,37626,101.74,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,6,4,0.06,0.2,0.172903,62991,197.41,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,14,-4,0.14,0.2,0.309989,115909,490.24,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,12,-4,0.12,0.2,0.355546,127398,528.09,0,0.0
Frontier Math (AIME),0,0,STABLE,right_wall,4,4,0.04,0.2,0.095,34663,167.8,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,4,-4,0.04,0.2,0.173803,60854,201.24,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,4,-4,0.04,0.2,0.103498,39132,194.95,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,4,-4,0.04,0.2,0.080073,29270,167.33,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,4,-4,0.04,0.2,0.181777,65006,175.25,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,4,-4,0.04,0.2,0.121441,43038,228.67,0,0.0
Frontier Math (AIME),0,1,STABLE,right_wall,4,4,0.04,0.2,0.03897,15830,155.43,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,4,-4,0.04,0.2,0.188023,66521,181.37,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,4,-4,0.04,0.2,0.134231,47581,185.16,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,4,-4,0.04,0.2,0.052778,22104,120.18,0,0.0
Frontier Math (AIME),0,1,STABLE,right_wall,8,4,0.08,0.2,0.193368,73295,334.12,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,8,-4,0.08,0.2,0.282345,103985,357.5,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,8,-4,0.08,0.2,0.284706,101681,378.9,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,4,-4,0.04,0.2,0.059176,23204,162.77,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,4,-4,0.04,0.2,0.121444,47343,232.72,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,4,4,0.04,0.2,0.13044,46708,151.61,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,6,-4,0.06,0.2,0.15887,57995,290.41,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,6,-4,0.06,0.2,0.236173,83031,241.85,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,4,-4,0.04,0.2,0.081818,30128,160.05,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,4,-4,0.04,0.2,0.03045,13065,176.73,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,4,-4,0.04,0.2,0.170673,60161,195.57,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,4,-4,0.04,0.2,0.170133,59235,185.49,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,4,-4,0.04,0.2,0.096508,36880,164.25,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,4,-4,0.04,0.2,0.01345,6725,158.92,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,4,-4,0.04,0.2,0.184293,66299,232.78,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,4,4,0.04,0.2,0.138752,50746,172.45,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,4,-4,0.04,0.2,0.104242,37221,199.3,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,8,-4,0.08,0.2,0.218454,81340,360.99,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,4,4,0.04,0.2,0.13861,50528,135.47,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,4,-4,0.04,0.2,0.134275,47554,191.4,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,4,-4,0.04,0.2,0.081277,30659,194.09,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,4,-4,0.04,0.2,0.171125,59899,181.67,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,6,-4,0.06,0.2,0.150637,55695,321.46,0,0.0
Frontier Math (AIME),0,1,STABLE,right_wall,4,4,0.04,0.2,0.132151,49041,158.37,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,4,-4,0.04,0.2,0.17206,60266,214.87,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,10,4,0.1,0.2,0.133652,50047,352.54,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,4,-4,0.04,0.2,0.188198,67426,400.31,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,4,-4,0.04,0.2,0.174241,60992,208.32,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,6,-4,0.06,0.2,0.168059,59855,279.28,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,6,-4,0.06,0.2,0.188094,68271,264.39,0,0.0
Frontier Math (AIME),1,0,STABLE,right_wall,6,4,0.06,0.2,0.116933,42896,211.11,0,0.0
Frontier Math (AIME),0,1,STABLE,right_wall,8,4,0.08,0.2,0.102025,39156,187.25,0,0.0
Frontier Math (AIME),0,0,STABLE,right_wall,4,4,0.04,0.2,0.176548,62885,184.91,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,6,-4,0.06,0.2,0.158368,57852,270.68,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,8,4,0.08,0.2,0.230785,82436,391.77,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,4,-4,0.04,0.2,0.109388,38874,203.12,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,14,-4,0.14,0.2,0.372195,137012,549.68,0,0.0
Frontier Math (AIME),0,1,STABLE,right_wall,6,4,0.06,0.2,0.057204,22187,120.29,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,4,-4,0.04,0.2,0.175054,61550,204.0,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,6,-4,0.06,0.2,0.14303,51585,265.21,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,6,-4,0.06,0.2,0.179437,63314,241.25,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,4,-4,0.04,0.2,0.155316,54935,200.46,0,0.0
Frontier Math (AIME),0,1,STABLE,right_wall,8,4,0.08,0.2,0.170387,64515,346.46,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,4,4,0.04,0.2,0.071454,26407,69.51,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,10,4,0.1,0.2,0.255192,96461,410.49,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,4,-4,0.04,0.2,0.173018,60445,200.56,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,4,-4,0.04,0.2,0.128368,45178,199.53,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,6,-4,0.06,0.2,0.127674,46761,267.18,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,4,-4,0.04,0.2,0.170667,59064,199.26,0,0.0
Frontier Math (AIME),1,0,STABLE,left_wall,4,-4,0.04,0.2,0.063133,23890,188.55,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,6,-4,0.06,0.2,0.246564,88058,275.85,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,6,-4,0.06,0.2,0.094859,36487,269.63,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,3,0.15,0.2,0.450799,165400,571.11,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,6,4,0.06,0.2,0.096869,36485,205.86,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,4,-4,0.04,0.2,0.170287,59303,183.48,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,6,-4,0.06,0.2,0.185756,67366,299.29,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,10,-4,0.1,0.2,0.309996,110586,400.05,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,8,-4,0.08,0.2,0.099866,40455,306.05,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,4,4,0.04,0.2,0.102445,36804,128.94,0,0.0
Frontier Math (AIME),0,1,UNSTABLE,fallback,15,-1,0.15,0.2,0.399529,147444,546.06,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,6,-4,0.06,0.2,0.185868,66823,259.05,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,12,-4,0.12,0.2,0.370409,132239,535.34,0,0.0
Frontier Math (AIME),0,0,STABLE,right_wall,4,4,0.04,0.2,0.029749,12721,167.19,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,6,-4,0.06,0.2,0.248101,86964,290.65,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,6,-4,0.06,0.2,0.087952,34218,240.92,0,0.0
Frontier Math (AIME),0,1,STABLE,right_wall,8,4,0.08,0.2,0.260001,92337,295.15,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,4,-4,0.04,0.2,0.064573,25376,184.05,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,10,-4,0.1,0.2,0.333408,119453,450.41,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,4,-4,0.04,0.2,0.097656,35721,181.61,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,4,-4,0.04,0.2,0.1557,55242,189.71,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,4,-4,0.04,0.2,0.113923,41247,216.29,0,0.0
Frontier Math (AIME),0,1,STABLE,right_wall,6,4,0.06,0.2,0.06438,24226,152.82,0,0.0
Frontier Math (AIME),0,0,UNSTABLE,fallback,15,-3,0.15,0.2,0.448857,158987,674.04,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,4,-4,0.04,0.2,0.135252,48198,179.48,0,0.0
Frontier Math (AIME),0,0,STABLE,right_wall,6,4,0.06,0.2,0.118988,44415,298.67,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,4,4,0.04,0.2,0.083172,31115,91.86,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,4,4,0.04,0.2,0.15142,53185,176.69,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,4,-4,0.04,0.2,0.149293,52792,198.61,0,0.0
Frontier Math (AIME),0,1,STABLE,right_wall,10,4,0.1,0.2,0.248323,90812,411.21,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,12,4,0.12,0.2,0.30788,110925,495.53,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,4,-4,0.04,0.2,0.068897,26264,169.01,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,8,-4,0.08,0.2,0.340862,124587,366.94,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,6,-4,0.06,0.2,0.091977,36102,224.89,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,10,-4,0.1,0.2,0.328434,118089,458.68,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,4,-4,0.04,0.2,0.058807,22870,162.84,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,-1,0.15,0.2,0.404842,147202,588.52,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,4,4,0.04,0.2,0.048782,18082,48.86,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,10,-4,0.1,0.2,0.307908,110831,471.23,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,14,-4,0.14,0.2,0.415662,150389,655.14,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,8,4,0.08,0.2,0.094155,35513,180.19,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,4,-4,0.04,0.2,0.173738,62180,177.31,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,12,4,0.12,0.2,0.303619,114836,464.92,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,4,-4,0.04,0.2,0.15733,57360,189.48,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,4,-4,0.04,0.2,0.046444,19203,159.15,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,4,-4,0.04,0.2,0.172548,60745,176.47,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,4,-4,0.04,0.2,0.132928,47549,178.63,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,4,-4,0.04,0.2,0.039044,16773,177.25,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,4,-4,0.04,0.2,0.17381,60832,180.25,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,6,-4,0.06,0.2,0.16952,61393,286.75,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,4,-4,0.04,0.2,0.082455,30679,193.66,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,3,0.15,0.2,0.428465,157233,595.79,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,8,4,0.08,0.2,0.194614,75178,269.21,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,4,-4,0.04,0.2,0.174129,61326,176.59,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,6,-4,0.06,0.2,0.121996,45378,252.1,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,4,-4,0.04,0.2,0.096778,35177,180.16,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,10,4,0.1,0.2,0.299783,110986,459.66,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,6,-4,0.06,0.2,0.261342,91980,301.61,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,10,4,0.1,0.2,0.239286,96785,580.95,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,6,4,0.06,0.2,0.209036,74419,230.0,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,4,-4,0.04,0.2,0.138054,49451,195.16,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,-1,0.15,0.2,0.356274,130512,534.44,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,4,-4,0.04,0.2,0.077023,29979,171.45,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,6,-4,0.06,0.2,0.255773,89565,294.95,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,4,-4,0.04,0.2,0.061893,23130,169.5,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,4,-4,0.04,0.2,0.05997,23067,156.65,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,14,-4,0.14,0.2,0.426091,154924,632.68,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,4,-4,0.04,0.2,0.155004,53753,184.54,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,4,-4,0.04,0.2,0.150867,53200,189.66,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,4,-4,0.04,0.2,0.042284,18146,136.82,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,4,-4,0.04,0.2,0.090952,32546,161.32,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,4,4,0.04,0.2,0.090282,32620,109.94,0,0.0
