Category,S1_Acc,DASE_Acc,State,Commit_Reason,Steps,Final_X,Spatial_Cost,Alpha_Weight,Cost,Tokens,Duration,Infra_Noise,Infra_Noise_Rate
Frontier Math (AIME),0,0,STABLE,left_wall,8,-8,0.08,0.2,0.264178,94546,360.92,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,8,-8,0.08,0.2,0.146253,56135,335.33,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,8,-8,0.08,0.2,0.314808,111311,363.78,0,0.0
Frontier Math (AIME),0,1,UNSTABLE,fallback,15,3,0.15,0.2,0.169467,63882,363.3,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,8,-8,0.08,0.2,0.331454,115499,394.22,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,8,-8,0.08,0.2,0.152726,56986,373.03,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,8,-8,0.08,0.2,0.286292,101915,382.5,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,14,8,0.14,0.2,0.300088,116206,439.33,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,5,0.15,0.2,0.41555,148243,616.81,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,10,-8,0.1,0.2,0.26719,96462,452.72,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,-5,0.15,0.2,0.485939,174436,691.5,0,0.0
Frontier Math (AIME),0,1,UNSTABLE,fallback,15,-3,0.15,0.2,0.364123,132801,573.01,0,0.0
Frontier Math (AIME),0,1,UNSTABLE,fallback,15,-3,0.15,0.2,0.328743,123293,559.57,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,12,-8,0.12,0.2,0.38286,143623,522.46,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,10,-8,0.1,0.2,0.310866,111194,434.28,0,0.0
Frontier Math (AIME),0,1,UNSTABLE,fallback,15,-3,0.15,0.2,0.396732,145250,632.55,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,8,-8,0.08,0.2,0.306138,108888,360.34,0,0.0
Frontier Math (AIME),0,1,UNSTABLE,fallback,15,1,0.15,0.2,0.30768,114458,592.38,0,0.0
Frontier Math (AIME),0,1,STABLE,right_wall,8,8,0.08,0.2,0.094725,35369,119.35,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,8,-8,0.08,0.2,0.271165,96694,321.83,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,8,-8,0.08,0.2,0.254031,92909,368.53,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,12,8,0.12,0.2,0.130234,49766,297.3,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,14,-8,0.14,0.2,0.433693,157205,594.05,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,1,0.15,0.2,0.424538,159415,558.15,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,14,-8,0.14,0.2,0.416823,154898,604.09,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,-5,0.15,0.2,0.302912,113716,544.94,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,10,-8,0.1,0.2,0.326482,117482,419.26,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,14,-8,0.14,0.2,0.334093,124045,573.91,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,7,0.15,0.2,0.36853,136208,463.79,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,8,-8,0.08,0.2,0.187898,67839,374.38,0,0.0
Frontier Math (AIME),0,0,UNSTABLE,fallback,15,-1,0.15,0.2,0.401656,145808,602.47,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,8,-8,0.08,0.2,0.280005,99694,322.48,0,0.0
Frontier Math (AIME),0,1,UNSTABLE,fallback,15,-3,0.15,0.2,0.36575,136568,584.36,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,5,0.15,0.2,0.325017,126327,523.94,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,8,-8,0.08,0.2,0.336307,118741,362.26,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,-7,0.15,0.2,0.382911,138568,714.26,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,8,-8,0.08,0.2,0.256865,90847,369.02,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,-1,0.15,0.2,0.383398,143931,584.23,0,0.0
Frontier Math (AIME),0,0,STABLE,right_wall,10,8,0.1,0.2,0.324173,116273,444.69,0,0.0
Frontier Math (AIME),0,1,STABLE,right_wall,8,8,0.08,0.2,0.172834,71274,572.5,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,3,0.15,0.2,0.42368,153906,660.17,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,8,-8,0.08,0.2,0.292938,104811,407.82,0,0.0
Frontier Math (AIME),0,1,UNSTABLE,fallback,15,-3,0.15,0.2,0.340208,123824,591.44,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,8,-8,0.08,0.2,0.330604,118261,366.44,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,12,-8,0.12,0.2,0.290123,106133,496.78,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,10,-8,0.1,0.2,0.254002,91527,418.8,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,8,-8,0.08,0.2,0.195652,71903,355.93,0,0.0
Frontier Math (AIME),0,1,UNSTABLE,fallback,15,1,0.15,0.2,0.409216,150323,617.63,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,8,-8,0.08,0.2,0.273467,95684,351.72,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,8,-8,0.08,0.2,0.185285,68432,336.08,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,10,8,0.1,0.2,0.185111,72956,321.97,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,8,-8,0.08,0.2,0.295308,102574,337.34,0,0.0
Frontier Math (AIME),0,1,UNSTABLE,fallback,15,-1,0.15,0.2,0.24213,88955,503.54,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,8,-8,0.08,0.2,0.260884,91255,311.67,0,0.0
