Category,S1_Acc,DASE_Acc,State,Commit_Reason,Steps,Final_X,Spatial_Cost,Alpha_Weight,Cost,Tokens,Duration,Infra_Noise,Infra_Noise_Rate
Frontier Math (AIME),0,1,STABLE,left_wall,2,-2,0.02,0.2,0.089483,31957,125.23,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,2,2,0.02,0.2,0.033327,12325,71.91,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,2,2,0.02,0.2,0.030814,12344,106.84,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,4,-2,0.04,0.2,0.150907,53604,180.17,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,2,2,0.02,0.2,0.028358,10579,36.37,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,2,-2,0.02,0.2,0.087242,30454,104.62,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,6,-2,0.06,0.2,0.135374,50888,212.19,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,4,2,0.04,0.2,0.07461,27368,130.06,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,2,2,0.02,0.2,0.059205,21092,68.91,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,4,2,0.04,0.2,0.085177,31175,136.29,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,2,-2,0.02,0.2,0.022316,8728,84.01,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,2,-2,0.02,0.2,0.076504,27051,82.87,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,2,2,0.02,0.2,0.032485,12056,38.98,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,2,2,0.02,0.2,0.04373,15774,44.18,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,2,-2,0.02,0.2,0.032599,12724,75.03,0,0.0
Frontier Math (AIME),0,1,STABLE,right_wall,4,2,0.04,0.2,0.08148,31372,135.31,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,8,-2,0.08,0.2,0.286383,101555,348.02,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,2,-2,0.02,0.2,0.021035,9001,101.7,0,0.0
Frontier Math (AIME),0,1,STABLE,right_wall,4,2,0.04,0.2,0.133532,48111,208.16,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,2,-2,0.02,0.2,0.079733,27669,112.92,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,2,2,0.02,0.2,0.021566,7875,41.64,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,6,-2,0.06,0.2,0.184055,66186,322.64,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,2,-2,0.02,0.2,0.082573,28938,90.42,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,2,-2,0.02,0.2,0.077714,26733,99.76,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,4,2,0.04,0.2,0.037526,14563,137.21,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,4,2,0.04,0.2,0.084561,32055,121.64,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,2,-2,0.02,0.2,0.090748,32156,79.5,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,2,2,0.02,0.2,0.053853,19362,61.26,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,6,-2,0.06,0.2,0.116948,44452,261.01,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,2,2,0.02,0.2,0.054867,19805,62.64,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,4,2,0.04,0.2,0.151463,54768,164.07,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,2,2,0.02,0.2,0.065843,23164,80.95,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,2,-2,0.02,0.2,0.058328,20679,89.4,0,0.0
