Category,FM_Acc,Tokens_In,Tokens_Out,Total_Tokens,Cost,Duration,Infra_Noise_Rate,Endpoint,Total_Inferences
Frontier Math (AIME),0,4705,1257,5962,0.05495000,18.02,0,claude-opus-4-6,1
Frontier Math (AIME),0,5074,1377,6451,0.05979500,22.53,0,claude-opus-4-6,1
Frontier Math (AIME),1,4731,1203,5934,0.05373000,19.66,0,claude-opus-4-6,1
Frontier Math (AIME),1,4677,1498,6175,0.06083500,19.05,0,claude-opus-4-6,1
Frontier Math (AIME),1,4622,1062,5684,0.04966000,14.13,0,claude-opus-4-6,1
Frontier Math (AIME),0,4617,1209,5826,0.05331000,18.33,0,claude-opus-4-6,1
Frontier Math (AIME),1,4624,1412,6036,0.05842000,20.47,0,claude-opus-4-6,1
Frontier Math (AIME),1,4702,1252,5954,0.05481000,19.86,0,claude-opus-4-6,1
Frontier Math (AIME),0,5201,1380,6581,0.06050500,22.22,0,claude-opus-4-6,1
Frontier Math (AIME),1,4627,1191,5818,0.05291000,13.41,0,claude-opus-4-6,1
Frontier Math (AIME),1,4635,706,5341,0.04082500,11.47,0,claude-opus-4-6,1
Frontier Math (AIME),1,4674,1343,6017,0.05694500,23.35,0,claude-opus-4-6,1
Frontier Math (AIME),1,4620,1330,5950,0.05635000,17.00,0,claude-opus-4-6,1
Frontier Math (AIME),1,4688,1112,5800,0.05124000,14.95,0,claude-opus-4-6,1
Frontier Math (AIME),1,4693,1448,6141,0.05966500,20.38,0,claude-opus-4-6,1
Frontier Math (AIME),1,4640,1068,5708,0.04990000,15.46,0,claude-opus-4-6,1
Frontier Math (AIME),1,4583,1109,5692,0.05064000,15.26,0,claude-opus-4-6,1
Frontier Math (AIME),1,4973,1438,6411,0.06081500,20.18,0,claude-opus-4-6,1
Frontier Math (AIME),1,4655,807,5462,0.04345000,10.81,0,claude-opus-4-6,1
Frontier Math (AIME),0,4695,8000,12695,0.22347500,100.09,0,claude-opus-4-6,1
Frontier Math (AIME),1,4589,1239,5828,0.05392000,18.43,0,claude-opus-4-6,1
Frontier Math (AIME),1,4857,1024,5881,0.04988500,11.98,0,claude-opus-4-6,1
Frontier Math (AIME),1,4578,642,5220,0.03894000,9.21,0,claude-opus-4-6,1
Frontier Math (AIME),1,4693,1211,5904,0.05374000,21.20,0,claude-opus-4-6,1
Frontier Math (AIME),1,4628,1308,5936,0.05584000,17.92,0,claude-opus-4-6,1
Frontier Math (AIME),1,4684,1291,5975,0.05569500,21.40,0,claude-opus-4-6,1
Frontier Math (AIME),1,4645,981,5626,0.04775000,13.72,0,claude-opus-4-6,1
Frontier Math (AIME),0,4623,1731,6354,0.06639000,25.09,0,claude-opus-4-6,1
Frontier Math (AIME),0,4699,1238,5937,0.05444500,19.78,0,claude-opus-4-6,1
Frontier Math (AIME),0,4652,1253,5905,0.05458500,19.95,0,claude-opus-4-6,1
Frontier Math (AIME),1,4639,1384,6023,0.05779500,20.17,0,claude-opus-4-6,1
Frontier Math (AIME),1,4659,1022,5681,0.04884500,12.49,0,claude-opus-4-6,1
Frontier Math (AIME),1,4714,1125,5839,0.05169500,15.70,0,claude-opus-4-6,1
Frontier Math (AIME),1,4603,1281,5884,0.05504000,20.35,0,claude-opus-4-6,1
Frontier Math (AIME),0,4625,1524,6149,0.06122500,19.86,0,claude-opus-4-6,1
Frontier Math (AIME),1,4701,1107,5808,0.05118000,19.04,0,claude-opus-4-6,1
Frontier Math (AIME),1,4653,1132,5785,0.05156500,14.75,0,claude-opus-4-6,1
Frontier Math (AIME),1,4613,437,5050,0.03399000,5.37,0,claude-opus-4-6,1
Frontier Math (AIME),1,4659,1301,5960,0.05582000,23.10,0,claude-opus-4-6,1
Frontier Math (AIME),1,4585,2207,6792,0.07810000,30.82,0,claude-opus-4-6,1
Frontier Math (AIME),1,4567,546,5113,0.03648500,7.58,0,claude-opus-4-6,1
Frontier Math (AIME),0,4694,1545,6239,0.06209500,21.20,0,claude-opus-4-6,1
Frontier Math (AIME),1,4645,1032,5677,0.04902500,11.57,0,claude-opus-4-6,1
Frontier Math (AIME),1,4610,5775,10385,0.16742500,83.77,0,claude-opus-4-6,1
Frontier Math (AIME),1,4673,1049,5722,0.04959000,14.84,0,claude-opus-4-6,1
Frontier Math (AIME),1,4652,1327,5979,0.05643500,20.68,0,claude-opus-4-6,1
Frontier Math (AIME),1,4634,1465,6099,0.05979500,19.87,0,claude-opus-4-6,1
Frontier Math (AIME),1,4665,978,5643,0.04777500,13.82,0,claude-opus-4-6,1
Frontier Math (AIME),0,4687,8000,12687,0.22343500,117.66,0,claude-opus-4-6,1
Frontier Math (AIME),1,4589,1736,6325,0.06634500,20.07,0,claude-opus-4-6,1
Frontier Math (AIME),1,4615,1234,5849,0.05392500,18.30,0,claude-opus-4-6,1
Frontier Math (AIME),1,4663,1194,5857,0.05316500,14.67,0,claude-opus-4-6,1
Frontier Math (AIME),1,4657,1025,5682,0.04891000,11.88,0,claude-opus-4-6,1
Frontier Math (AIME),1,4585,1183,5768,0.05250000,21.09,0,claude-opus-4-6,1
Frontier Math (AIME),1,4698,1465,6163,0.06011500,15.46,0,claude-opus-4-6,1
Frontier Math (AIME),1,4720,1177,5897,0.05302500,21.21,0,claude-opus-4-6,1
Frontier Math (AIME),1,4677,1199,5876,0.05336000,13.71,0,claude-opus-4-6,1
Frontier Math (AIME),1,4738,1358,6096,0.05764000,24.16,0,claude-opus-4-6,1
Frontier Math (AIME),1,4620,3988,8608,0.12280000,48.03,0,claude-opus-4-6,1
Frontier Math (AIME),1,4658,1196,5854,0.05319000,12.49,0,claude-opus-4-6,1
Frontier Math (AIME),1,4700,7668,12368,0.21520000,108.54,0,claude-opus-4-6,1
Frontier Math (AIME),1,4668,1026,5694,0.04899000,16.38,0,claude-opus-4-6,1
Frontier Math (AIME),0,4592,8000,12592,0.22296000,89.09,0,claude-opus-4-6,1
Frontier Math (AIME),1,4674,2542,7216,0.08692000,36.15,0,claude-opus-4-6,1
Frontier Math (AIME),1,4645,1167,5812,0.05240000,14.94,0,claude-opus-4-6,1
Frontier Math (AIME),1,4595,929,5524,0.04620000,12.80,0,claude-opus-4-6,1
Frontier Math (AIME),1,4643,1051,5694,0.04949000,13.52,0,claude-opus-4-6,1
Frontier Math (AIME),0,4632,8000,12632,0.22316000,90.42,0,claude-opus-4-6,1
Frontier Math (AIME),1,4779,1402,6181,0.05894500,21.19,0,claude-opus-4-6,1
Frontier Math (AIME),1,4595,523,5118,0.03605000,7.78,0,claude-opus-4-6,1
Frontier Math (AIME),1,4631,1262,5893,0.05470500,24.47,0,claude-opus-4-6,1
Frontier Math (AIME),1,4553,902,5455,0.04531500,11.47,0,claude-opus-4-6,1
Frontier Math (AIME),1,4696,837,5533,0.04440500,18.02,0,claude-opus-4-6,1
Frontier Math (AIME),1,4681,1257,5938,0.05483000,22.53,0,claude-opus-4-6,1
Frontier Math (AIME),1,4595,1266,5861,0.05462500,14.95,0,claude-opus-4-6,1
Frontier Math (AIME),1,4692,773,5465,0.04278500,11.06,0,claude-opus-4-6,1
Frontier Math (AIME),1,4587,1202,5789,0.05298500,17.10,0,claude-opus-4-6,1
Frontier Math (AIME),0,4637,5619,10256,0.16366000,51.92,0,claude-opus-4-6,1
Frontier Math (AIME),0,4708,1455,6163,0.05991500,25.29,0,claude-opus-4-6,1
Frontier Math (AIME),1,4634,857,5491,0.04459500,11.16,0,claude-opus-4-6,1
Frontier Math (AIME),1,4643,1090,5733,0.05046500,14.03,0,claude-opus-4-6,1
Frontier Math (AIME),1,4625,1212,5837,0.05342500,17.00,0,claude-opus-4-6,1
Frontier Math (AIME),1,4655,956,5611,0.04717500,11.47,0,claude-opus-4-6,1
Frontier Math (AIME),1,4647,1110,5757,0.05098500,13.72,0,claude-opus-4-6,1
Frontier Math (AIME),1,4683,998,5681,0.04836500,14.64,0,claude-opus-4-6,1
Frontier Math (AIME),1,4682,756,5438,0.04231000,11.57,0,claude-opus-4-6,1
Frontier Math (AIME),1,4661,1112,5773,0.05110500,13.72,0,claude-opus-4-6,1
Frontier Math (AIME),1,4599,1173,5772,0.05232000,17.39,0,claude-opus-4-6,1
Frontier Math (AIME),1,4631,1217,5848,0.05358000,21.42,0,claude-opus-4-6,1
Frontier Math (AIME),1,4669,1563,6232,0.06242000,20.89,0,claude-opus-4-6,1
Frontier Math (AIME),1,4575,1166,5741,0.05202500,13.21,0,claude-opus-4-6,1
Frontier Math (AIME),1,4857,1154,6011,0.05313500,23.25,0,claude-opus-4-6,1
Frontier Math (AIME),1,4595,1287,5882,0.05515000,22.02,0,claude-opus-4-6,1
Frontier Math (AIME),0,4610,1273,5883,0.05487500,18.74,0,claude-opus-4-6,1
Frontier Math (AIME),1,4594,843,5437,0.04404500,11.98,0,claude-opus-4-6,1
Frontier Math (AIME),1,4610,1339,5949,0.05652500,15.03,0,claude-opus-4-6,1
Frontier Math (AIME),1,4643,1020,5663,0.04871500,12.93,0,claude-opus-4-6,1
Frontier Math (AIME),1,4614,1295,5909,0.05544500,17.20,0,claude-opus-4-6,1
Frontier Math (AIME),1,4658,1210,5868,0.05354000,18.44,0,claude-opus-4-6,1
Frontier Math (AIME),1,4583,1153,5736,0.05174000,14.23,0,claude-opus-4-6,1
Frontier Math (AIME),1,4702,1025,5727,0.04913500,13.41,0,claude-opus-4-6,1
Frontier Math (AIME),1,4632,1323,5955,0.05623500,14.64,0,claude-opus-4-6,1
Frontier Math (AIME),1,4677,4309,8986,0.13111000,52.84,0,claude-opus-4-6,1
Frontier Math (AIME),1,4634,437,5071,0.03409500,7.27,0,claude-opus-4-6,1
Frontier Math (AIME),1,4608,1273,5881,0.05486500,25.09,0,claude-opus-4-6,1
Frontier Math (AIME),1,4672,1159,5831,0.05233500,15.25,0,claude-opus-4-6,1
Frontier Math (AIME),1,4784,1709,6493,0.06664500,22.53,0,claude-opus-4-6,1
Frontier Math (AIME),1,4617,1165,5782,0.05221000,17.20,0,claude-opus-4-6,1
Frontier Math (AIME),1,4657,900,5557,0.04578500,12.60,0,claude-opus-4-6,1
Frontier Math (AIME),1,4564,891,5455,0.04509500,13.21,0,claude-opus-4-6,1
Frontier Math (AIME),1,4634,1316,5950,0.05607000,21.20,0,claude-opus-4-6,1
Frontier Math (AIME),1,4681,1282,5963,0.05545500,20.27,0,claude-opus-4-6,1
Frontier Math (AIME),0,4621,1411,6032,0.05838000,21.30,0,claude-opus-4-6,1
Frontier Math (AIME),1,4598,1124,5722,0.05109000,11.47,0,claude-opus-4-6,1
Frontier Math (AIME),1,4616,512,5128,0.03588000,7.47,0,claude-opus-4-6,1
Frontier Math (AIME),1,4706,600,5306,0.03853000,8.80,0,claude-opus-4-6,1
Frontier Math (AIME),1,4634,488,5122,0.03537000,7.88,0,claude-opus-4-6,1
Frontier Math (AIME),1,4676,2324,7000,0.08148000,27.34,0,claude-opus-4-6,1
Frontier Math (AIME),1,4632,691,5323,0.04043500,9.78,0,claude-opus-4-6,1
Frontier Math (AIME),0,4668,1397,6065,0.05826500,17.46,0,claude-opus-4-6,1
Frontier Math (AIME),1,4569,1244,5813,0.05394500,14.95,0,claude-opus-4-6,1
Frontier Math (AIME),1,4699,961,5660,0.04752000,12.08,0,claude-opus-4-6,1
Frontier Math (AIME),1,4639,1016,5655,0.04859500,12.59,0,claude-opus-4-6,1
Frontier Math (AIME),1,4628,1155,5783,0.05201500,22.02,0,claude-opus-4-6,1
Frontier Math (AIME),1,4714,1252,5966,0.05487000,23.14,0,claude-opus-4-6,1
Frontier Math (AIME),1,4622,1135,5757,0.05148500,16.89,0,claude-opus-4-6,1
Frontier Math (AIME),1,4917,1170,6087,0.05383500,20.69,0,claude-opus-4-6,1
Frontier Math (AIME),0,4611,1295,5906,0.05543000,18.23,0,claude-opus-4-6,1
Frontier Math (AIME),1,4657,790,5447,0.04303500,12.29,0,claude-opus-4-6,1
Frontier Math (AIME),1,4719,1210,5929,0.05384500,23.65,0,claude-opus-4-6,1
Frontier Math (AIME),1,4612,3670,8282,0.11481000,47.41,0,claude-opus-4-6,1
Frontier Math (AIME),1,4632,3112,7744,0.10096000,37.17,0,claude-opus-4-6,1
Frontier Math (AIME),1,4623,448,5071,0.03431500,7.63,0,claude-opus-4-6,1
Frontier Math (AIME),1,4681,1213,5894,0.05373000,21.55,0,claude-opus-4-6,1
Frontier Math (AIME),1,4640,1118,5758,0.05115000,15.56,0,claude-opus-4-6,1
Frontier Math (AIME),1,4739,1921,6660,0.07172000,23.86,0,claude-opus-4-6,1
Frontier Math (AIME),1,4672,1224,5896,0.05396000,24.07,0,claude-opus-4-6,1
Frontier Math (AIME),0,5879,1379,7258,0.06387000,21.02,0,claude-opus-4-6,1
Frontier Math (AIME),1,4664,672,5336,0.04012000,11.03,0,claude-opus-4-6,1
Frontier Math (AIME),1,4565,914,5479,0.04567500,13.21,0,claude-opus-4-6,1
Frontier Math (AIME),1,4890,1417,6307,0.05987500,22.63,0,claude-opus-4-6,1
Frontier Math (AIME),1,4608,1306,5914,0.05569000,17.00,0,claude-opus-4-6,1
Frontier Math (AIME),1,4604,1272,5876,0.05482000,18.23,0,claude-opus-4-6,1
Frontier Math (AIME),1,4659,649,5308,0.03952000,7.78,0,claude-opus-4-6,1
Frontier Math (AIME),1,4714,964,5678,0.04767000,14.13,0,claude-opus-4-6,1
Frontier Math (AIME),1,4624,685,5309,0.04024500,10.34,0,claude-opus-4-6,1
Frontier Math (AIME),0,4598,1425,6023,0.05861500,20.07,0,claude-opus-4-6,1
Frontier Math (AIME),1,4603,1323,5926,0.05609000,16.79,0,claude-opus-4-6,1
