Category,S1_Acc,DASE_Acc,State,Commit_Reason,Steps,Final_X,Spatial_Cost,Alpha_Weight,Cost,Tokens,Duration,Infra_Noise,Infra_Noise_Rate
Frontier Math (AIME),1,1,STABLE,right_wall,10,8,0.1,0.2,0.190581,74670,141.47,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,8,8,0.08,0.2,0.27995,113953,301.12,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,8,8,0.08,0.2,0.193125,76427,193.45,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,8,8,0.08,0.2,0.263795,109620,363.93,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,7,0.15,0.2,0.323324,126017,288.94,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,8,8,0.08,0.2,0.184043,73522,169.94,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,8,8,0.08,0.2,0.17784,70733,229.22,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,8,8,0.08,0.2,0.232693,93594,219.94,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,8,-8,0.08,0.2,0.607518,241464,582.01,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,8,-8,0.08,0.2,0.491595,191116,562.77,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,1,0.15,0.2,0.761796,311686,975.37,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,-1,0.15,0.2,0.709172,277424,704.74,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,-1,0.15,0.2,0.813424,326380,902.27,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,-5,0.15,0.2,1.049032,419022,1230.32,0,0.0
Frontier Math (AIME),0,0,UNSTABLE,fallback,15,-5,0.15,0.2,0.86844,345221,998.24,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,8,8,0.08,0.2,0.143964,58601,215.27,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,10,-8,0.1,0.2,0.831094,333607,855.2,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,8,-8,0.08,0.2,0.535774,207904,595.63,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,12,8,0.12,0.2,0.437388,185042,652.3,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,12,8,0.12,0.2,0.285954,112314,334.14,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,10,8,0.1,0.2,0.4107,168946,597.66,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,8,8,0.08,0.2,0.343487,139815,380.69,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,8,-8,0.08,0.2,0.72205,280283,587.5,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,8,-8,0.08,0.2,0.102857,45590,346.23,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,1,0.15,0.2,0.458838,183987,477.06,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,-1,0.15,0.2,0.847585,319223,2262.51,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,3,0.15,0.2,1.072018,404070,2481.68,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,12,-8,0.12,0.2,1.006915,374025,1973.75,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,8,-8,0.08,0.2,0.760184,297810,660.88,0,0.0
Frontier Math (AIME),0,0,UNSTABLE,fallback,15,3,0.15,0.2,0.546334,222238,864.86,0,0.0
